u,v,w
-2.5193337904228415e-06,-1.6603076540051037e-05,-4.2458596097567644e-06
-5.529186307114407e-07,-1.483027169170353e-05,-9.81809845318805e-06
-7.150071020559554e-07,-1.459797201477263e-05,-9.827219699144569e-06
1.3843365876818718e-06,-1.1032818194129941e-05,-1.4430913640478047e-05
3.437218898137566e-06,-6.02818769928113e-06,-1.757709190305785e-05
5.212211531421547e-06,-1.0618825554428755e-07,-1.8868503616408683e-05
6.50225017829537e-06,6.068532966825475e-06,-1.8106513641916024e-05
7.154422587697474e-06,1.1767644216011084e-05,-1.534315294293881e-05
7.093424833468548e-06,1.630707973677502e-05,-1.0893774126309976e-05
6.331754985234853e-06,1.915618050382239e-05,-5.295340794434449e-06
4.96467836018001e-06,2.0014035404601094e-05,7.810850332764659e-07
3.153409625189713e-06,1.883450200384989e-05,6.635185268800296e-06
1.1020991256063203e-06,1.5805257058840684e-05,1.1629934590229696e-05
-9.667296268099747e-07,1.130008153577704e-05,1.5256497092590083e-05
-2.8354755166332837e-06,5.82233897065596e-06,1.7171426064382785e-05
-4.3120104937711195e-06,-5.095617958377356e-08,1.721310466136165e-05
-5.2466386234732745e-06,-5.722081796416923e-06,1.540366856874861e-05
-5.54481615005948e-06,-1.0622547067773202e-05,1.1939429851453989e-05
-5.1750932653485696e-06,-1.4259377615539691e-05,7.170781976840175e-06
-4.1719651674846955e-06,-1.6256007805301003e-05,1.572421929835623e-06
-2.633648604609978e-06,-1.638592045158936e-05,-4.29458377406712e-06
-7.150071020559595e-07,-1.4597972014772658e-05,-9.827219699144576e-06
-8.976764477290045e-07,-1.4400791274287166e-05,-9.836141685080725e-06
1.170785930205399e-06,-1.0846096981882485e-05,-1.4405771684204259e-05
3.2166206161477785e-06,-5.873213243828173e-06,-1.7519186046156402e-05
5.012998050250847e-06,-4.52744621481358e-10,-1.8786610955740964e-05
6.353687982898563e-06,6.116762517388018e-06,-1.8014505526126745e-05
7.080699219887705e-06,1.1761832483293168e-05,-1.525490783085986e-05
7.107659733918268e-06,1.6260020299527108e-05,-1.0818392721957634e-05
6.432851897319461e-06,1.9084279477007243e-05,-5.235846593723787e-06
5.138511094082107e-06,1.9932235218575162e-05,8.253339316592164e-07
3.3772619258619485e-06,1.8754411460754185e-05,6.66507843961462e-06
1.3498824501072338e-06,1.573594130335245e-05,1.1644826396743763e-05
-7.204016611113208e-07,1.1249478230899814e-05,1.5254572117985023e-05
-2.6128987078536225e-06,5.797922741397825e-06,1.715116077319554e-05
-4.131287894873406e-06,-4.24457032428495e-08,1.717468412136156e-05
-5.12125912921482e-06,-5.675442800087568e-06,1.5349837240189665e-05
-5.483497781728567e-06,-1.0535064428899163e-05,1.1875753534613099e-05
-5.181696469704141e-06,-1.4131757742685996e-05,7.105437930769828e-06
-4.245385916089349e-06,-1.6093278391722452e-05,1.5155336865496161e-06
-2.7676087784628517e-06,-1.6198209201437674e-05,-4.332210442207226e-06
-8.976764477290095e-07,-1.4400791274287191e-05,-9.83614168508073e-06
-1.104109486859343e-06,-1.4302843150283856e-05,-9.875617584136976e-06
9.437727712335721e-07,-1.0745404713437147e-05,-1.4442200304700042e-05
2.9951561851225842e-06,-5.7788410255807915e-06,-1.754926164692887e-05
4.825978927045929e-06,8.115602979525156e-08,-1.880848339180568e-05
6.2284567627685e-06,6.183359410611906e-06,-1.8025993189013482e-05
7.037341254905458e-06,1.1814655057002233e-05,-1.5251782934358898e-05
7.154036753718403e-06,1.6301039804838315e-05,-1.0794706635283513e-05
6.562816158260588e-06,1.9113652773410888e-05,-5.186859324515934e-06
5.3341465467465346e-06,1.994817872233525e-05,8.995862057526114e-07
3.613719162818398e-06,1.8755391716828254e-05,6.758331312575688e-06
1.6004065867932516e-06,1.5723118955548745e-05,1.1746153339236293e-05
-4.808576257952581e-07,1.122763039254802e-05,1.5351631091389236e-05
-2.405720969582788e-06,5.774621360071566e-06,1.7233231343695007e-05
-3.973360543221751e-06,-5.857303002418698e-08,1.7234478653664665e-05
-5.024618161140082e-06,-5.676489070442695e-06,1.5384068738891312e-05
-5.455122662066488e-06,-1.051520290923402e-05,1.1884886681247922e-05
-5.223316515343797e-06,-1.4088114930766245e-05,7.093020431448137e-06
